"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1289500,"December 31, 2018",Texas,"Houston (Cloverleaf)","14200 block of Duncannon Dr",1,2,N/A
1289865,"December 31, 2018",Tennessee,"Memphis (Bartlett)","3359 Summerhill Dr",1,1,N/A
1289362,"December 31, 2018","New York","New York (Manhattan)","110 Bedford St",1,0,N/A
1288927,"December 31, 2018",Colorado,Longmont,"2211 Pratt St",1,0,N/A
1289279,"December 31, 2018",Alabama,Birmingham,"3205 Birmingport Rd",1,1,N/A
1289071,"December 31, 2018",California,"Los Angeles","13600 block of Vanowen St",1,0,N/A
1288781,"December 31, 2018",Florida,Miami,"374 NW 27th Ave",1,0,N/A
1288883,"December 31, 2018",Pennsylvania,Waterville,"Church St",1,0,N/A
1289893,"December 31, 2018","South Carolina",Columbia,"300 block of S Highland Forest Dr",1,0,N/A
1290194,"December 31, 2018",Missouri,"Saint Louis","Davis St and Virginia Ave",1,0,N/A
1291341,"December 31, 2018",Michigan,"Benton Harbor","2086 Colfax Ave",1,0,N/A
1290813,"December 31, 2018",Virginia,Richmond,"3600 Kings Point Ct",2,0,N/A
1289407,"December 31, 2018",California,Norwalk,"14300 block of Carmenita Rd",1,0,N/A
1290799,"December 31, 2018",Georgia,Atlanta,"1479 Bouldercrest Rd",1,0,N/A
1289335,"December 31, 2018",Louisiana,"New Orleans","2500 block of Gravier St",1,0,N/A
1290285,"December 31, 2018",Texas,Houston,"12101 Fondren Rd",1,0,N/A
1290094,"December 31, 2018",Texas,Tyler,"10672 County Road 383",1,1,N/A
1290497,"December 31, 2018",Missouri,"Saint Louis","1400 block of Kingsland Ave",1,0,N/A
1303872,"December 31, 2018","South Carolina","North Charleston","7335 Stall Rd",1,0,N/A
1290515,"December 31, 2018",Colorado,"Colorado Springs","8200 Broughton Ct",1,0,N/A
1289098,"December 31, 2018",California,"Los Angeles","7100 block of Kansas Ave",1,0,N/A
1289412,"December 31, 2018",Washington,Seattle,"9600 block of Aurora Avenue North",1,0,N/A
1289437,"December 31, 2018",Texas,Dallas,"2728 N Buckner Blvd",1,0,N/A
1289414,"December 31, 2018",California,Oakland,"6000 block of MacArthur Blvd",1,0,N/A
1289294,"December 31, 2018",Indiana,"Fort Wayne","E Williams St and Lafayette St",1,0,N/A
1289271,"December 31, 2018",Georgia,Lawrenceville,"1874 Riverlanding Cir",2,0,N/A
1289543,"December 31, 2018",Wisconsin,Milwaukee,"W Mitchell St and S 1st St",1,0,N/A
1288925,"December 31, 2018","South Carolina",Columbia,"300 block of McRae St",1,0,N/A
1290065,"December 31, 2018",Michigan,"Benton Harbor","2000 block of Colfax Ave",1,0,N/A
1574898,"December 31, 2018",Nevada,"Las Vegas","S Jones Blvd and W Hacienda Ave",1,0,N/A
1289155,"December 31, 2018",Indiana,Indianapolis,"Hiatt St and Miller St",1,0,N/A
1289025,"December 31, 2018","North Carolina","Winston Salem (Winston-salem)","Parkview Ct",1,0,N/A
1289794,"December 31, 2018",Georgia,"Stone Mountain","5345 Memorial Dr",1,0,N/A
1289339,"December 31, 2018",Louisiana,"Denham Springs","Lotts Ln",1,0,N/A
1288752,"December 31, 2018",Ohio,Cincinnati,"3627 McHenry Ave",1,0,N/A
1292257,"December 31, 2018",Ohio,Ravenna,"2400 block of Hazelnut Dr",1,0,N/A
1289240,"December 31, 2018",Florida,Tampa,"13400 block of N Nebraska Ave",1,0,N/A
1291649,"December 31, 2018",Florida,Palatka,"2500 block of Campbell St",1,0,N/A
1290374,"December 31, 2018",Iowa,Dayton,"IA 175 and Oak Ave",1,0,N/A
1289635,"December 31, 2018",Illinois,Chicago,"300 block of E 53rd St",1,0,N/A
1289642,"December 31, 2018",Illinois,Chicago,"200 block of W 95th St",1,0,N/A
1288657,"December 31, 2018",Maryland,Baltimore,"50 block of W 20th St",1,0,N/A
1289569,"December 31, 2018",Maryland,Baltimore,"4500 block of Green Rose Ln",1,0,N/A
1289243,"December 31, 2018",Michigan,Jackson,"300 block of Mitchell St",1,0,N/A
1293717,"December 31, 2018",California,Hanford,"9th Ave and Hanford Armona Rd",1,0,N/A
1289686,"December 31, 2018",Ohio,Cleveland,"4462 Denison Ave",3,2,N/A
1290028,"December 31, 2018",Texas,"Fort Worth","3220 S Jones St",1,0,N/A
1289545,"December 31, 2018",Wisconsin,Milwaukee,"4000 block of W Good Hope Rd",1,0,N/A
1290354,"December 31, 2018",California,Oakland,"8600 block of International Blvd",1,0,N/A
1294393,"December 31, 2018",Arkansas,"Springdale (Bethel Heights)","5325 N Oak St",1,0,N/A
1288201,"December 30, 2018",Texas,Houston,"15491 Wallisville Rd",1,1,N/A
1289320,"December 30, 2018",Louisiana,"New Orleans","Mandeville St and N Derbigny St",1,0,N/A
1288071,"December 30, 2018",Kentucky,Covington,"Pike St and Main St",1,0,N/A
1289480,"December 30, 2018",Nevada,"Reno (Cold Springs)","18000 block of Spruce Lake Ct",2,0,N/A
1288952,"December 30, 2018","North Carolina",Charlotte,"7600 block of Gwynne Hill Rd",1,0,N/A
1289265,"December 30, 2018",Missouri,"Saint Louis","10400 block of Baron Dr",1,0,N/A
1288513,"December 30, 2018",Tennessee,Nashville,"1600 block of 25th Ave N",1,0,N/A
1289285,"December 30, 2018",Missouri,"Kansas City","7500 block of Oakland Ave",1,0,N/A
1288497,"December 30, 2018",Texas,Dallas,"1207 E Red Bird Ln",1,0,N/A
1288545,"December 30, 2018",Virginia,Hampton,"900 block of Ridgeway Ave",1,0,N/A
1288549,"December 30, 2018",Virginia,Richmond,"3400 block of Maury St",1,0,N/A
1288527,"December 30, 2018",Virginia,"Virginia Beach","1000 block of Coach Cir",2,1,N/A
1289203,"December 30, 2018",Mississippi,Marion,"5938 Dale Dr",1,2,N/A
1288802,"December 30, 2018",Florida,"Panama City","3706 W 22nd Plaza",1,0,N/A
1288867,"December 30, 2018",Georgia,"Stone Mountain","Mackin St",1,0,N/A
1288273,"December 30, 2018",Texas,Llano,"600 Bessemer Ave",1,0,N/A
1288142,"December 30, 2018",California,Sacramento,"7th St and K St",2,2,N/A
1288847,"December 30, 2018",Illinois,Rockford,"1100 block of Green St",1,0,N/A
1289113,"December 30, 2018",California,Compton,"2000 block of N Parmelee Ave",1,1,N/A
1288416,"December 30, 2018",Ohio,Miamisburg,"119 N 1st St",1,1,N/A
1288873,"December 30, 2018",Georgia,Newnan,"76 Savannah St",1,0,N/A
1288209,"December 30, 2018",Georgia,Baxley,"53 Heritage St",1,1,N/A
1299646,"December 30, 2018",California,Nipomo,"800 block of Tannis Place",1,0,N/A
1288833,"December 30, 2018",Ohio,Youngstown,"720 Williamson Ave",1,2,N/A
1288890,"December 30, 2018",Illinois,"O Fallon","1713 W Hwy 50",1,0,N/A
1288830,"December 30, 2018",Ohio,Youngstown,"3200 Market St",1,1,N/A
1290605,"December 30, 2018",Florida,Bryceville,"13400 block of US 301",2,0,N/A
1314977,"December 30, 2018",Illinois,Evanston,"1900 block of Foster St",1,0,N/A
1290583,"December 30, 2018",Maryland,Severn,"8100 block of Meade Village Rd",1,0,N/A
1288589,"December 30, 2018",Maryland,"Oxon Hill","1700 block of Mystic Ave",1,0,N/A
1287995,"December 30, 2018",Maryland,Baltimore,"400 block of Gold St",1,0,N/A
1288420,"December 30, 2018",Maryland,Baltimore,"1000 block of Franklintown Rd",1,0,N/A
1288576,"December 30, 2018",Michigan,"Muskegon (Muskegon Heights)","E Center St and Baker St",1,0,N/A
1288533,"December 30, 2018",Virginia,Williamsburg,"1000 block of Wilkins Dr",1,0,N/A
1288721,"December 30, 2018",Pennsylvania,Braddock,"700 block of Hawkins Ave",1,0,N/A
1289220,"December 30, 2018",Oklahoma,Tulsa,"4811 S Jackson Ave",1,0,N/A
1288505,"December 30, 2018",Ohio,Cleveland,"1600 block of Holyrood Ave",1,0,N/A
1287728,"December 29, 2018",Connecticut,Danbury,"25 Memorial Dr",1,1,N/A
1289168,"December 29, 2018",Indiana,Marion,"2300 block of Gallatin St",3,0,N/A
1288376,"December 29, 2018",Ohio,Lima,"904 S Main St",1,3,N/A
1287420,"December 29, 2018",Virginia,Petersburg,"110 Croatan Dr",1,0,N/A
